Player,Team,Role,Format,Matches,Innings,Runs,NotOut,HighestScore,Average,StrikeRate,Fifties,Hundreds,Wickets,BowlingAverage,Economy,BestBowling
Smriti Mandhana,India,Opening Batter,ODI,10,10,450,1,87,50.00,92.50,4,0,0,0,0,0/0
Harmanpreet Kaur,India,Middle Order Batter,ODI,10,10,320,2,76,40.00,85.00,3,0,2,45.00,4.80,1/24
Shafali Verma,India,Opening Batter,ODI,10,10,380,0,91,38.00,96.00,4,0,3,30.00,5.20,2/31
Jemimah Rodrigues,India,Batter,ODI,10,9,290,1,68,36.25,88.00,2,0,1,40.00,4.50,1/28
Richa Ghosh,India,Wicketkeeper Batter,ODI,10,9,250,2,64,35.71,91.00,2,0,0,0,0,0/0
Deepti Sharma,India,All Rounder,ODI,10,9,220,2,55,31.43,78.00,1,0,12,25.00,4.20,3/28
Pooja Vastrakar,India,All Rounder,ODI,10,8,150,2,42,25.00,75.00,0,0,9,32.00,4.80,3/35
Renuka Singh,India,Bowler,ODI,10,5,35,2,18,11.67,63.00,0,0,14,27.00,4.60,4/32
Radha Yadav,India,Bowler,ODI,10,5,40,2,20,13.33,66.00,0,0,11,29.00,4.40,3/25
Shreyanka Patil,India,All Rounder,ODI,10,6,85,1,31,17.00,72.00,0,0,10,30.00,4.70,3/40
